,company_id,company,revenue,sector
1,1,Abbey Plc - Esm,98.5,Consumer Cyclicals 
2,2,Aer Lingus Group Plc,1425.1,Industrial
4,10,Bank Of Ireland,5877,Financial
5,14,C&C Group Plc,467.9,Consumer Non-Cyclicals
7,16,Cpl Resources Plc - Esm,331,Industrial
8,17,Crh Plc,18031,Basic Materials
9,18,Datalex Plc,28.6,Technology
10,20,Diageo Plc,18243.7,Consumer Non-Cyclicals
11,21,Donegal Investment Group Plc - Esm,86.7,Consumer Non-Cyclicals
12,22,Dragon Oil Plc,379.1,Energy
15,28,Fbd Holdings Plc,351.2,Financial
16,30,First Derivatives Plc - Esm,40.3,Technology
17,31,Fyffes Plc - Esm,1082,Consumer Non-Cyclicals
18,32,Glanbia Plc,2382.1,Consumer Non-Cyclicals
22,44,Ifg Group Plc,76.7,Financial
23,45,Independent News & Media Plc,539.7,Consumer Cyclicals 
24,48,Irish Continental Group Plc,264.7,Industrial
27,53,Kenmare Resources Plc,103.8,Basic Materials
28,54,Kerry Group Plc,5836.7,Consumer Non-Cyclicals
29,55,Kingspan Group Plc,1790.3,Consumer Cyclicals 
30,56,Merrion Pharmaceuticals Plc - Esm,12966.3,Healthcare
31,57,Mincon Group Plc - Esm,52.3,Industrial
32,65,Origin Enterprises Plc - Esm,995.7,Consumer Non-Cyclicals
35,68,Paddy Power Plc,745.2,Consumer Cyclicals 
36,69,Permanent Tsb Group Holdings Plc - Esm,252,Financial
37,70,Petroceltic International Plc - Esm,148.1,Energy
38,71,Petroneft Resources Plc - Esm,29.1,Energy
39,72,Prime Active Capital Plc - Esm,40.6,Financial
40,76,Ryanair Holdings Plc,4884,Industrial
41,78,Smurfit Kappa Group Plc,7957,Basic Materials
42,81,Total Produce Plc - Esm,3157,Consumer Non-Cyclicals
43,83,Tullow Oil Plc,2647,Energy
44,84,Tvc Holdings Plc - Esm,127,Financial
45,91,Zamano Plc - Esm,16,Technology
