,director_id,company_id,director,gender,company,edge
1,1.0,22.0,"Abdul-Jaleel Al-Khalifa",male,"Dragon Oil Plc",1.0
2,5.0,22.0,"Adrian Toner",male,"Dragon Oil Plc",0.0
3,6.0,22.0,"Ahmad Buti Saeed Al Muhairbi",male,"Dragon Oil Plc",1.0
4,7.0,22.0,"Ahmad Sharaf",male,"Dragon Oil Plc",1.0
5,9.0,22.0,"Aidan Brogan",male,"Dragon Oil Plc",0.0
6,17.0,22.0,"Alan Graham Martin",male,"Dragon Oil Plc",0.0
7,18.0,22.0,"Alan John Parsley",male,"Dragon Oil Plc",0.0
8,22.0,22.0,"Alan Mooney",male,"Dragon Oil Plc",0.0
9,24.0,22.0,"Alan Ronald Cook",male,"Dragon Oil Plc",0.0
10,29.0,22.0,"Albert Manifold",male,"Dragon Oil Plc",0.0
11,38.0,22.0,"Allan Marshall",male,"Dragon Oil Plc",0.0
12,43.0,22.0,"Andrew Elliott Macfarlane",male,"Dragon Oil Plc",0.0
13,45.0,22.0,"Andrew Keating",male,"Dragon Oil Plc",0.0
14,47.0,22.0,"Andrew Langford",male,"Dragon Oil Plc",0.0
15,50.0,22.0,"Andrew Nicholas John Hay",male,"Dragon Oil Plc",0.0
16,53.0,22.0,"Anne Heraty",female,"Dragon Oil Plc",0.0
17,60.0,22.0,"Anthony Carragher",male,"Dragon Oil Plc",0.0
18,63.0,22.0,"Anthony James Kelly",male,"Dragon Oil Plc",0.0
19,67.0,22.0,"Anthony Lowrie",male,"Dragon Oil Plc",0.0
20,72.0,22.0,"Anthony Paul James Smurfit",male,"Dragon Oil Plc",0.0
21,73.0,22.0,"Anthony Stephen Gill",male,"Dragon Oil Plc",0.0
22,75.0,22.0,"Antonio Guadelupe Prado",male,"Dragon Oil Plc",0.0
23,76.0,22.0,"Archie Kane",male,"Dragon Oil Plc",0.0
24,82.0,22.0,"Benjamin Joseph Conte",male,"Dragon Oil Plc",0.0
25,91.0,22.0,"Brad Martin",male,"Dragon Oil Plc",0.0
26,92.0,22.0,"Breege O'Donoghue",female,"Dragon Oil Plc",0.0
27,93.0,22.0,"Breffni Byrne",male,"Dragon Oil Plc",0.0
28,98.0,22.0,"Brendan Fitzgerald",male,"Dragon Oil Plc",0.0
29,108.0,22.0,"Brian Anthony Phelan",male,"Dragon Oil Plc",0.0
30,109.0,22.0,"Brian Arthur Hall",male,"Dragon Oil Plc",0.0
31,114.0,22.0,"Brian Conlon",male,"Dragon Oil Plc",0.0
32,117.0,22.0,"Brian Gerard Hill",male,"Dragon Oil Plc",0.0
33,118.0,22.0,"Brian Hall",male,"Dragon Oil Plc",0.0
34,121.0,22.0,"Brian John Stewart",male,"Dragon Oil Plc",0.0
35,123.0,22.0,"Brian Mehigan",male,"Dragon Oil Plc",0.0
36,125.0,22.0,"Brian O'Cathain",male,"Dragon Oil Plc",0.0
37,127.0,22.0,"Brian O'Kelly",male,"Dragon Oil Plc",0.0
38,129.0,22.0,"Brian Raymond Hawkins",male,"Dragon Oil Plc",0.0
39,131.0,22.0,"Brid Horan",female,"Dragon Oil Plc",0.0
40,136.0,22.0,"Carl Patrick Mccann",male,"Dragon Oil Plc",0.0
41,141.0,22.0,"Cathal Friel",male,"Dragon Oil Plc",0.0
42,142.0,22.0,"Cathal O'Caoimh",male,"Dragon Oil Plc",0.0
43,143.0,22.0,"Catherine Duffy",female,"Dragon Oil Plc",0.0
44,145.0,22.0,"Catriona Mullane",female,"Dragon Oil Plc",0.0
45,149.0,22.0,"Charles Hubert Gallagher",male,"Dragon Oil Plc",0.0
46,151.0,22.0,"Charles Mccreevy",male,"Dragon Oil Plc",0.0
47,154.0,22.0,"Charles Wathen",male,"Dragon Oil Plc",0.0
48,158.0,22.0,"Christel Bories",female,"Dragon Oil Plc",0.0
49,163.0,22.0,"Christopher Hall",male,"Dragon Oil Plc",0.0
50,169.0,22.0,"Christoph Mueller",male,"Dragon Oil Plc",0.0
51,171.0,22.0,"Ciara Mc Cormick[AP]",female,"Dragon Oil Plc",0.0
52,173.0,22.0,"Coen Bos",male,"Dragon Oil Plc",0.0
53,175.0,22.0,"Colin Hunt",male,"Dragon Oil Plc",0.0
54,176.0,22.0,"Colin Patrick Tucker",male,"Dragon Oil Plc",0.0
55,177.0,22.0,"Colm Barrington",male,"Dragon Oil Plc",0.0
56,185.0,22.0,"Conor O'Kelly",male,"Dragon Oil Plc",0.0
57,187.0,22.0,"Cormac Mccarthy",male,"Dragon Oil Plc",0.0
58,192.0,22.0,"Daniel John Kitchen",male,"Dragon Oil Plc",0.0
59,196.0,22.0,"Daniel Noel O'Connor",male,"Dragon Oil Plc",0.0
60,199.0,22.0,"Danuta Gray",female,"Dragon Oil Plc",0.0
61,200.0,22.0,"Davida Marston",female,"Dragon Oil Plc",0.0
62,202.0,22.0,"David Begg",male,"Dragon Oil Plc",0.0
63,203.0,22.0,"David Bonderman",male,"Dragon Oil Plc",0.0
64,204.0,22.0,"David Byrne",male,"Dragon Oil Plc",0.0
65,206.0,22.0,"David Doyle",male,"Dragon Oil Plc",0.0
66,207.0,22.0,"David E. Sanders",male,"Dragon Oil Plc",0.0
67,208.0,22.0,"David Farrell",male,"Dragon Oil Plc",0.0
68,209.0,22.0,"David Gallagher",male,"Dragon Oil Plc",0.0
69,213.0,22.0,"David Harrison",male,"Dragon Oil Plc",0.0
70,215.0,22.0,"David Howard Thomas",male,"Dragon Oil Plc",0.0
71,216.0,22.0,"David Kennedy",male,"Dragon Oil Plc",0.0
72,220.0,22.0,"David Mccann",male,"Dragon Oil Plc",0.0
73,224.0,22.0,"David Paige",male,"Dragon Oil Plc",0.0
74,227.0,22.0,"David Quirke",male,"Dragon Oil Plc",0.0
75,231.0,22.0,"David Symonds Hooker",male,"Dragon Oil Plc",0.0
76,234.0,22.0,"Declan Gerard Francis Mckeon",male,"Dragon Oil Plc",0.0
77,235.0,22.0,"Declan Giblin",male,"Dragon Oil Plc",0.0
78,240.0,22.0,"Denis Buckley",male,"Dragon Oil Plc",0.0
79,242.0,22.0,"Denis Carroll",male,"Dragon Oil Plc",0.0
80,245.0,22.0,"Denis Francis Wallis",male,"Dragon Oil Plc",0.0
81,251.0,22.0,"Dennis C. Francis",male,"Dragon Oil Plc",0.0
82,260.0,22.0,"Dermot Martin",male,"Dragon Oil Plc",0.0
83,261.0,22.0,"Dermot Mulvihill",male,"Dragon Oil Plc",0.0
84,268.0,22.0,"Dominic Dodd",male,"Dragon Oil Plc",0.0
85,274.0,22.0,"Donald A Mcgovern Jnr",male,"Dragon Oil Plc",0.0
86,275.0,22.0,"Donald Roth",male,"Dragon Oil Plc",0.0
87,276.0,22.0,"Donald Schissel",male,"Dragon Oil Plc",0.0
88,285.0,22.0,"Donard Patrick Thomas Gaynor",male,"Dragon Oil Plc",0.0
89,289.0,22.0,"Eamon Marian Power",male,"Dragon Oil Plc",0.0
90,291.0,22.0,"Eamonn Rothwell",male,"Dragon Oil Plc",0.0
91,303.0,22.0,"Elizabeth Headon",female,"Dragon Oil Plc",0.0
92,306.0,22.0,"Emer Daly",female,"Dragon Oil Plc",0.0
93,308.0,22.0,"Emmett O'Connell",male,"Dragon Oil Plc",0.0
94,312.0,22.0,"Ernst Johann Bartschi",male,"Dragon Oil Plc",0.0
95,317.0,22.0,"Eugene Michael Murtagh",male,"Dragon Oil Plc",0.0
96,318.0,22.0,"Eugene Murtagh",male,"Dragon Oil Plc",0.0
97,319.0,22.0,"Evelyn Bourke",female,"Dragon Oil Plc",0.0
98,323.0,22.0,"Fintan Maher",male,"Dragon Oil Plc",0.0
99,324.0,22.0,"Flor Healy",female,"Dragon Oil Plc",0.0
100,328.0,22.0,"Francis Devenney",male,"Dragon Oil Plc",0.0
101,329.0,22.0,"Francis Hackett",male,"Dragon Oil Plc",0.0
102,330.0,22.0,"Francis James Davis",male,"Dragon Oil Plc",0.0
103,333.0,22.0,"Frank Browne",male,"Dragon Oil Plc",0.0
104,334.0,22.0,"Frank Gernon",male,"Dragon Oil Plc",0.0
105,337.0,22.0,"Frank Murray",male,"Dragon Oil Plc",0.0
106,341.0,22.0,"Frederick Derek Tughan",male,"Dragon Oil Plc",0.0
107,343.0,22.0,"Frits Beurskens",male,"Dragon Oil Plc",0.0
108,344.0,22.0,"Gabriel Smith",male,"Dragon Oil Plc",0.0
109,346.0,22.0,"Garret Roche",male,"Dragon Oil Plc",0.0
110,347.0,22.0,"Garry Lyons",male,"Dragon Oil Plc",0.0
111,349.0,22.0,"Gary Kennedy",male,"Dragon Oil Plc",0.0
